Timestamp,How would you describe your current feelings about Artificial Intelligence (AI)?,Which stage best describes your current progress on the AI journey?,Which statement best describes the current momentum of AI adoption within Marketing & Communications?,How would you best describe your familiarity with AI tools and their applications in marketing & communications?,How often do you currently use AI tools in your work? Choose the option that most closely reflects your usage.,"When you use AI at work, which benefits are you experiencing most? (Select your top 3)","Besides the AI tools the company officially endorses with a paid subscription (OpenAI ChatGPT, Microsoft Copilot, Adobe Firefly, etc.), what other AI tools do you most often use to assist with your work (whether a free version or one you pay out of your own pocket for)?",Are you currently paying out of your own pocket for any AI tools you use for work?,What do you think are the biggest barriers to using AI effectively in your role? (Select 1-3 options),How important is AI to the success of your individual or team work over the next 12 months?,How confident are you today in your ability to use AI tools effectively in your role?,"What’s your biggest struggle with AI right now, if at all?",What are you most excited about when it comes to AI?,What is your role?,What is your function?
3/18/2026 15:50:02,Positive,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,"Inconsistent / Siloed - We have pockets of adoption by individuals or small teams, but no cohesive department-wide progress.",I am highly knowledgeable and use AI regularly.,Daily,"Improves quality / polish - makes my drafts and deliverables stronger, Idea generation / creative acceleration - helps me brainstorm and produce more options, Strategic thought partner - helps me think through strategy, pressure-test ideas, and refine recommendations","Perplexity AI, NotebookLM, Gamma, Otter.ai, WISPR Flow",Yes,Lack of time / competing priorities,5,Very Confident,"Creating Custom GPTs, and making time to create more and explore. Note, AI does not help me with client facing management responding to demands, attending meetings, etc; and project management, so the workload is still substantial. Rather, I have taken on new tasks since I can use AI to do them.",Custom GPTs ,Manager,Strategic Communications
3/18/2026 16:00:11,I have both positive and negative feelings about AI,"Experimentation – I’m actively trying out AI tools to improve efficiency, creativity, or decision-making.","Inconsistent / Siloed - We have pockets of adoption by individuals or small teams, but no cohesive department-wide progress.",I understand AI tools well and have experimented with them,Daily,"Strategic thought partner - helps me think through strategy, pressure-test ideas, and refine recommendations, Learning / upskilling - helps me learn faster and build new skills, Enablement / accessibility - helps me do things I couldn't do as easily before (or without specialized expertise)",Midjourney,No,"Lack of time / competing priorities, Challenges are at the departmental, not individual level",4,Confident,"While I feel like AI has been beneficial for me as an individual contributor, the biggest challenge is that AI has not consistently created efficiencies at a team or departmental level. In some cases, it introduces delays due to lack of alignment on tools and the need for additional validation. I have also found that AI-generated outputs can lack context or strategic alignment but are still being sent out, which requires extra time to review, correct, and communicate, offsetting any potential time savings. Finally, I have found that AI performs better with structured inputs, which would require our department rethink or rebuild existing workflows to use it more effectively.",The opportunities are endless! ,Manager,Paid Media & Precision Marketing
3/18/2026 17:10:10,Positive,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,"Steady - We're making methodical, linear progress on specific projects.",I understand AI tools well and have experimented with them,Daily,"Improves quality / polish - makes my drafts and deliverables stronger, Idea generation / creative acceleration - helps me brainstorm and produce more options, Communication clarity - helps me turn messy thoughts into clear language and adapt tone for different audiences","Gemini (Google), NotebookLM",No,"None, I feel there are no barriers",5,Extremely Confident,N/A,Efficiency,Specialist,Account Services
3/19/2026 9:27:21,I have both positive and negative feelings about AI,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,"Inconsistent / Siloed - We have pockets of adoption by individuals or small teams, but no cohesive department-wide progress.",I am highly knowledgeable and use AI regularly.,At least once per week,"Saves time / reduces busywork - helps me complete routine tasks faster, Strategic thought partner - helps me think through strategy, pressure-test ideas, and refine recommendations, Enablement / accessibility - helps me do things I couldn't do as easily before (or without specialized expertise)",Genny Lovo AI,No,"Too many tools/not sure which to use, Concerns about accuracy or reliability, AI tools grow too rapidly to stick with one or the other",4,Very Confident,Using AI for voiceovers and getting it to say things correctly,It helps me strategize ways to grow our podcast listenership,Videographer/editor/audio,Content Marketing
3/19/2026 9:36:57,Positive,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,"Steady - We're making methodical, linear progress on specific projects.",I understand AI tools well and have experimented with them,Daily,"Saves time / reduces busywork - helps me complete routine tasks faster, Improves quality / polish - makes my drafts and deliverables stronger, Strategic thought partner - helps me think through strategy, pressure-test ideas, and refine recommendations","Gemini (Google), Claude (Anthropic), Perplexity AI",No,Limited access to AI tools,5,Extremely Confident,Several great AI tools that we're recommended to experiment with are blocked by Baptist Health. ,The ability to elevate our work. ,Director,Account Services
3/19/2026 11:01:12,Positive,"Experimentation – I’m actively trying out AI tools to improve efficiency, creativity, or decision-making.",Accelerating - Adoption is speeding up; we're rapidly expanding to new use cases and workflows.,I understand AI tools well and have experimented with them,Daily,"Saves time / reduces busywork - helps me complete routine tasks faster, Strategic thought partner - helps me think through strategy, pressure-test ideas, and refine recommendations, Communication clarity - helps me turn messy thoughts into clear language and adapt tone for different audiences",NotebookLM,No,"None, I feel there are no barriers",4,Very Confident,So many amazing tools that I struggle learning all of them!,To innovate my role and streamline tasks.,Specialist,Account Services
3/19/2026 11:07:07,Positive,"Transformation – I’m reimagining how I work, with AI as a core enabler, thought partner, and collaborator.","Inconsistent / Siloed - We have pockets of adoption by individuals or small teams, but no cohesive department-wide progress.",I am highly knowledgeable and use AI regularly.,Daily,"Saves time / reduces busywork - helps me complete routine tasks faster, Improves quality / polish - makes my drafts and deliverables stronger, Strategic thought partner - helps me think through strategy, pressure-test ideas, and refine recommendations","Gemini (Google), NotebookLM, Otter.ai",No,"Limited access to AI tools, Too many tools/not sure which to use",5,Extremely Confident,"My biggest struggle is not having the AI tools we use be able to connect and integrate with our systems. I think that once they begin speaking to our BHSF systems, truly streamlining workflows will really begin to take off.","I'm most excited about the next update, and the one after that because with each update or new tool comes a new opportunity tio be better at your work!",Manager,Internal Communications
3/19/2026 11:22:42,Positive,"Experimentation – I’m actively trying out AI tools to improve efficiency, creativity, or decision-making.","Steady - We're making methodical, linear progress on specific projects.",I understand AI tools well and have experimented with them,At least once per month,"Saves time / reduces busywork - helps me complete routine tasks faster, Improves quality / polish - makes my drafts and deliverables stronger, Communication clarity - helps me turn messy thoughts into clear language and adapt tone for different audiences",None. I only use officially endorsed AI tools for work.,No,"None, I feel there are no barriers",3,Very Confident,No struggles,Saving time ,Specialist,Marketing Operations
3/19/2026 14:07:23,Positive,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,"Steady - We're making methodical, linear progress on specific projects.",I understand AI tools well and have experimented with them,Daily,"Saves time / reduces busywork - helps me complete routine tasks faster, Improves quality / polish - makes my drafts and deliverables stronger, Communication clarity - helps me turn messy thoughts into clear language and adapt tone for different audiences",None. I only use officially endorsed AI tools for work.,No,"Lack of time / competing priorities, Too many tools/not sure which to use, Concerns about accuracy or reliability",5,Very Confident,"Time, work volume is crazy",More efficiency,Director,Medical Staff Communications
3/20/2026 12:25:45,Positive,"Transformation – I’m reimagining how I work, with AI as a core enabler, thought partner, and collaborator.","Inconsistent / Siloed - We have pockets of adoption by individuals or small teams, but no cohesive department-wide progress.",I am highly knowledgeable and use AI regularly.,Daily,"Idea generation / creative acceleration - helps me brainstorm and produce more options, Strategic thought partner - helps me think through strategy, pressure-test ideas, and refine recommendations, More meaningful work - offloads repetitive tasks so I can focus on higher-value work","Gemini (Google), NotebookLM, WISPR Flow",No,"Concerns about privacy / PHI / compliance, Connectors/Agents",5,Extremely Confident,Having the time to truly focus on new initiatives while maintaining current initiatives,the next level,Manager,Content Marketing
3/20/2026 14:29:54,Positive,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,"Steady - We're making methodical, linear progress on specific projects.",I am highly knowledgeable and use AI regularly.,Daily,"Saves time / reduces busywork - helps me complete routine tasks faster, Strategic thought partner - helps me think through strategy, pressure-test ideas, and refine recommendations","Gemini (Google), Claude (Anthropic), Grok (xAI), Llama (Meta AI), NotebookLM, Gamma, OpusClip, WISPR Flow",Yes,"None, I feel there are no barriers, Lack of time / competing priorities",5,Very Confident,time,creating efficiency and as a partner,Director,Social Media & Reputation Management
3/20/2026 18:52:33,Positive,"Transformation – I’m reimagining how I work, with AI as a core enabler, thought partner, and collaborator.",Accelerating - Adoption is speeding up; we're rapidly expanding to new use cases and workflows.,I understand AI tools well and have experimented with them,Daily,"Research and synthesis - helps me find, summarize, and connect information, Strategic thought partner - helps me think through strategy, pressure-test ideas, and refine recommendations, Communication clarity - helps me turn messy thoughts into clear language and adapt tone for different audiences","Gemini (Google), Perplexity AI, NotebookLM",No,Lack of time / competing priorities,5,Confident,Need to carve out more time daily to learn even more.,I'm excited to see how AI will open more bandwidth for my team to support the additional Baptist Health growth projects that are simultaneously beginning and will be completed over the next three years. ,AVP,"Account Services, Strategic Communications, Academic Partnerships"
3/23/2026 9:17:59,Positive,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,"Inconsistent / Siloed - We have pockets of adoption by individuals or small teams, but no cohesive department-wide progress.",I understand AI tools well and have experimented with them,Daily,"Saves time / reduces busywork - helps me complete routine tasks faster, Research and synthesis - helps me find, summarize, and connect information, Communication clarity - helps me turn messy thoughts into clear language and adapt tone for different audiences",Gemini (Google),No,Too many tools/not sure which to use,4,Somewhat confident,Still learning,Quick fast answers for any questions.,Specialist,Creative Services
3/23/2026 9:33:06,Positive,"Transformation – I’m reimagining how I work, with AI as a core enabler, thought partner, and collaborator.",Accelerating - Adoption is speeding up; we're rapidly expanding to new use cases and workflows.,I am highly knowledgeable and use AI regularly.,Daily,"Improves quality / polish - makes my drafts and deliverables stronger, Idea generation / creative acceleration - helps me brainstorm and produce more options, Research and synthesis - helps me find, summarize, and connect information","Claude (Anthropic), NotebookLM, Otter.ai",No,T & D not allowing 3rd party integration of AI tools,5,Extremely Confident,i think getting consensus on the tools we will use as a team is important,"the continued improvement of the AI tools we are using; seeing the implementation by my team while at the same time realizing the need for human review to output a better, more relevant product",Director,Content Marketing
3/23/2026 11:19:23,I have both positive and negative feelings about AI,"Transformation – I’m reimagining how I work, with AI as a core enabler, thought partner, and collaborator.","Inconsistent / Siloed - We have pockets of adoption by individuals or small teams, but no cohesive department-wide progress.",I am highly knowledgeable and use AI regularly.,Daily,"Research and synthesis - helps me find, summarize, and connect information, Strategic thought partner - helps me think through strategy, pressure-test ideas, and refine recommendations, More meaningful work - offloads repetitive tasks so I can focus on higher-value work","Perplexity AI, NotebookLM, Gamma, Otter.ai",Yes,"Lack of time / competing priorities, Limited access to AI tools, enterprise tools and connectors with Microsoft Office and other workspaces",5,Very Confident,Having enough time to spend with AI ,Doing better work faster; transforming comms to drive our mission ,Director,we work across almost all of these areas! 
3/23/2026 11:58:16,Positive,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,"Steady - We're making methodical, linear progress on specific projects.",I understand AI tools well and have experimented with them,Daily,"Saves time / reduces busywork - helps me complete routine tasks faster, Communication clarity - helps me turn messy thoughts into clear language and adapt tone for different audiences, Enablement / accessibility - helps me do things I couldn't do as easily before (or without specialized expertise)",None. I only use officially endorsed AI tools for work.,No,"Lack of time / competing priorities, Hard to break old habits, Concerns about accuracy or reliability",5,Very Confident,Practicing and learning more.,The opportunity to do things I couldn't do before because I lacked the knowledge.,Specialist,Sports Partnerships
3/23/2026 15:39:35,Positive,"Transformation – I’m reimagining how I work, with AI as a core enabler, thought partner, and collaborator.","Inconsistent / Siloed - We have pockets of adoption by individuals or small teams, but no cohesive department-wide progress.",I am highly knowledgeable and use AI regularly.,Daily,"Saves time / reduces busywork - helps me complete routine tasks faster, Strategic thought partner - helps me think through strategy, pressure-test ideas, and refine recommendations, Enablement / accessibility - helps me do things I couldn't do as easily before (or without specialized expertise)","Gemini (Google), NotebookLM, Otter.ai",Yes,"constrained by T&D network controls that prohibit downloads, data uploads (flagged as PHI) and system integrations",4,Very Confident,network limitations, ,Manager,Web & Technology
3/24/2026 6:48:11,Positive,"Transformation – I’m reimagining how I work, with AI as a core enabler, thought partner, and collaborator.","Steady - We're making methodical, linear progress on specific projects.",I am highly knowledgeable and use AI regularly.,Daily,"Saves time / reduces busywork - helps me complete routine tasks faster, Strategic thought partner - helps me think through strategy, pressure-test ideas, and refine recommendations, Communication clarity - helps me turn messy thoughts into clear language and adapt tone for different audiences",None. I only use officially endorsed AI tools for work.,Yes,"Concerns about accuracy or reliability, Concerns about privacy / PHI / compliance",5,Extremely Confident,Developing custom own GPTs,What comes next,Director,Paid Media & Precision Marketing
3/24/2026 10:29:33,I have both positive and negative feelings about AI,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,"Inconsistent / Siloed - We have pockets of adoption by individuals or small teams, but no cohesive department-wide progress.",I know a bit about them but haven’t used them,At least once per month,"Saves time / reduces busywork - helps me complete routine tasks faster, Improves quality / polish - makes my drafts and deliverables stronger, Enablement / accessibility - helps me do things I couldn't do as easily before (or without specialized expertise)",Gemini (Google),No,"Concerns about accuracy or reliability, Concerns about privacy / PHI / compliance",5,Confident,Making sure that the output for my reports are accurate and reliable. I sometimes have to go back and forth with AI just to make sure that the output is correct and what I am looking for.,I'm excited about a smoother reporting workflow for me and my team. Also excited about enhancing our reports for our clients utilizing AI.,Manager,Social Media & Reputation Management
3/25/2026 10:53:23,Positive,"Transformation – I’m reimagining how I work, with AI as a core enabler, thought partner, and collaborator.",Accelerating - Adoption is speeding up; we're rapidly expanding to new use cases and workflows.,I am highly knowledgeable and use AI regularly.,Daily,"Research and synthesis - helps me find, summarize, and connect information, Learning / upskilling - helps me learn faster and build new skills, Enablement / accessibility - helps me do things I couldn't do as easily before (or without specialized expertise)",None. I only use officially endorsed AI tools for work.,No,"None, I feel there are no barriers",5,Extremely Confident,"My workload is not comprised of repetitive tasks or easily automated work and so although I use AI multiple times a day to support the work I do, it does not replace tasks, just helps make them more efficient by not needing to go to multiple places. I also struggle with the output for strategic thinking - I don't always agree with its recommendations and so I use it as a starting place, but I find that my own experience, thoughts, and ideas can be superior to AI. ","The ability to supplement non-technical expertise - reports, tools, work that I don't have the technical expertise to execute, I can use AI to supplement my knowledge and ""teach"" me how to do higher level technical tasks that I can't actually do on my own. ",Director,Paid Media & Precision Marketing
3/25/2026 12:27:19,Positive,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,"Steady - We're making methodical, linear progress on specific projects.",I understand AI tools well and have experimented with them,Daily,"Saves time / reduces busywork - helps me complete routine tasks faster, Improves quality / polish - makes my drafts and deliverables stronger, Confidence / reduced anxiety - helps me get unstuck and feel more confident about what I'm producing","Eleven Labs, NotebookLM",No,Fear of making mistakes with AI,5,Very Confident,I would say my biggest stuggle is having a well informed custom GPT ,AI is always changing and upgrading so I am excited for all the updates to come,Specialist,Account Services
3/25/2026 13:14:47,Positive,"Experimentation – I’m actively trying out AI tools to improve efficiency, creativity, or decision-making.","Inconsistent / Siloed - We have pockets of adoption by individuals or small teams, but no cohesive department-wide progress.",I understand AI tools well and have experimented with them,Daily,"Improves quality / polish - makes my drafts and deliverables stronger, Strategic thought partner - helps me think through strategy, pressure-test ideas, and refine recommendations, Communication clarity - helps me turn messy thoughts into clear language and adapt tone for different audiences","Gemini (Google), Claude (Anthropic), NotebookLM",Yes,"Lack of time / competing priorities, Concerns about accuracy or reliability",3,Confident,Finding time to focus on AI.,Helping me find more time.,Manager,Marketing Operations
3/30/2026 8:05:25,Positive,"Transformation – I’m reimagining how I work, with AI as a core enabler, thought partner, and collaborator.",Accelerating - Adoption is speeding up; we're rapidly expanding to new use cases and workflows.,I am highly knowledgeable and use AI regularly.,Daily,"Strategic thought partner - helps me think through strategy, pressure-test ideas, and refine recommendations, Enablement / accessibility - helps me do things I couldn't do as easily before (or without specialized expertise), More meaningful work - offloads repetitive tasks so I can focus on higher-value work","Gemini (Google), NotebookLM, WISPR Flow",Yes,"None, I feel there are no barriers",5,Extremely Confident,Other software not yet connected on single platform ,Making work more enjoyable and more meaningful ,Director,Strategy & Research
3/30/2026 9:20:23,Positive,"Experimentation – I’m actively trying out AI tools to improve efficiency, creativity, or decision-making.","Steady - We're making methodical, linear progress on specific projects.",I understand AI tools well and have experimented with them,At least once per week,"Idea generation / creative acceleration - helps me brainstorm and produce more options, Research and synthesis - helps me find, summarize, and connect information, Learning / upskilling - helps me learn faster and build new skills",None. I only use officially endorsed AI tools for work.,No,"Too many tools/not sure which to use, Unclear guidelines on what's allowed (policy/guardrails)",4,Confident,Dedicating time to train it for my repetitive tasks ,Building efficiency with it and becoming proficient enough to teach others ,Specialist,Paid Media & Precision Marketing
3/30/2026 9:27:45,I have both positive and negative feelings about AI,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,"Steady - We're making methodical, linear progress on specific projects.",I understand AI tools well and have experimented with them,Daily,"Saves time / reduces busywork - helps me complete routine tasks faster, Idea generation / creative acceleration - helps me brainstorm and produce more options, Strategic thought partner - helps me think through strategy, pressure-test ideas, and refine recommendations","Gemini (Google), Gamma, OpusClip, Otter.ai, Answer The Public",Yes,"Concerns about accuracy or reliability, AI is meant to help (and it does), not be the end-all be-all savior. Also, some use without exercising human judgment",3,Very Confident,social media reporting. ,love it as a strategic thought partner and making workload more efficient,Manager,Social Media & Reputation Management
3/30/2026 9:29:23,Positive,"Transformation – I’m reimagining how I work, with AI as a core enabler, thought partner, and collaborator.","Steady - We're making methodical, linear progress on specific projects.",I am highly knowledgeable and use AI regularly.,Daily,"Research and synthesis - helps me find, summarize, and connect information, Strategic thought partner - helps me think through strategy, pressure-test ideas, and refine recommendations, More meaningful work - offloads repetitive tasks so I can focus on higher-value work",Gemini (Google),No,Hard to break old habits,4,Extremely Confident,Slightly concerned about being too reliant on AI,I'm excited about the positive impact,Specialist,Social Media & Reputation Management
3/30/2026 9:31:07,Positive,"Experimentation – I’m actively trying out AI tools to improve efficiency, creativity, or decision-making.","Steady - We're making methodical, linear progress on specific projects.",I understand AI tools well and have experimented with them,Daily,"Saves time / reduces busywork - helps me complete routine tasks faster, Improves quality / polish - makes my drafts and deliverables stronger, Speed to decision - helps me move faster from questions to decisions","Claude (Anthropic), Perplexity AI",No,Limited access to AI tools,4,Confident,Not enough hours in a day to explore,Speed nd streamlining work,Marketing,Content Marketing
3/30/2026 9:55:23,I have both positive and negative feelings about AI,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,"Inconsistent / Siloed - We have pockets of adoption by individuals or small teams, but no cohesive department-wide progress.",I understand AI tools well and have experimented with them,Daily,"Improves quality / polish - makes my drafts and deliverables stronger, Strategic thought partner - helps me think through strategy, pressure-test ideas, and refine recommendations, Collaboration - helps me work better with colleagues (align faster, share drafts, co-create)",Claude (Anthropic),No,"None, I feel there are no barriers",3,Very Confident,Finding the dedicated time to explore all the tools with the amount of daily responsibilities. ,Increased efficiencies on all teams,AVP,Account Services
3/30/2026 10:03:12,Positive,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,"Steady - We're making methodical, linear progress on specific projects.",I understand AI tools well and have experimented with them,Daily,"Saves time / reduces busywork - helps me complete routine tasks faster, Improves quality / polish - makes my drafts and deliverables stronger, Communication clarity - helps me turn messy thoughts into clear language and adapt tone for different audiences",Gemini (Google),No,"None, I feel there are no barriers",5,Confident,"At the moment, for my function, I'm not having issues.  I use ChatGPT daily for any emails, writing on behalf of VP when needed to prompt it to assist me creating sports team spreadsheets, prompting it to assist in selecting menus based on who's attending (c-suite, CEOs, etc)","It helps create content in a minute and it's good to review to makes sure there are no errors, And then you move on to the next task. You can prompt it anything and it gives you an answer. ",EA,Marketing Operations
3/30/2026 10:20:51,I have both positive and negative feelings about AI,"Experimentation – I’m actively trying out AI tools to improve efficiency, creativity, or decision-making.",Accelerating - Adoption is speeding up; we're rapidly expanding to new use cases and workflows.,I understand AI tools well and have experimented with them,Daily,"Saves time / reduces busywork - helps me complete routine tasks faster, Improves quality / polish - makes my drafts and deliverables stronger, Idea generation / creative acceleration - helps me brainstorm and produce more options","Claude (Anthropic), NotebookLM",No,Lack of time / competing priorities,4,Confident,"We have many use cases, but it takes time to do the front-end work to set things up to work for us.",Streamlining repetitive tasks,Manager,Internal Communications
3/30/2026 10:27:46,Positive,"Transformation – I’m reimagining how I work, with AI as a core enabler, thought partner, and collaborator.","Steady - We're making methodical, linear progress on specific projects.",I understand AI tools well and have experimented with them,Daily,"Strategic thought partner - helps me think through strategy, pressure-test ideas, and refine recommendations, Enablement / accessibility - helps me do things I couldn't do as easily before (or without specialized expertise), More meaningful work - offloads repetitive tasks so I can focus on higher-value work","Gemini (Google), Otter.ai",No,"None, I feel there are no barriers, Lack of time / competing priorities",5,Extremely Confident,N/A,Unlocking our own abilities internally vs. relying on vendors ,Director,Web & Technology